data_name,bias1,ml_name,method_name,Intercept,bias_type
titanic,0.001474978538682,LinearSVC,multi_v2,0.586162450885298,bias two
titanic,0.009123421648227,SVC,mean_v1,0.643698969732921,bias two
titanic,0.007606950954501,SVC,mean_v2,0.615305554235494,bias two
titanic,0.014016824843292,SVC,similar_v1,0.6335771007985,bias two
titanic,0.000300500112353,SVC,similar_v2,0.614070400495196,bias two
titanic,0.024524792914428,SVC,multi_v1,0.597508315429347,bias two
titanic,0.002803796799866,SVC,multi_v2,0.595770272418072,bias two
titanic,0.0127679426016,Forest,mean_v1,0.615777640047409,bias two
titanic,0.015315199329465,Forest,mean_v2,0.587208804880371,bias two
titanic,0.016576370187595,Forest,similar_v1,0.638745973998085,bias two
titanic,0.015173282971305,Forest,similar_v2,0.6263792912556,bias two
titanic,0.018831790264202,Forest,multi_v1,0.624258123296819,bias two
titanic,0.018648581930703,Forest,multi_v2,0.621433681465154,bias two
titanic,-0.004291030388816,LogReg,mean_v1,0.64274833457432,bias two
titanic,-0.00144114508491,LogReg,mean_v2,0.609084337000636,bias two
titanic,-0.001003189055681,LogReg,similar_v1,0.650778206132388,bias two
titanic,-0.008909823954305,LogReg,similar_v2,0.613792994967796,bias two
titanic,0.01727947746181,LogReg,multi_v1,0.602063687432175,bias two
titanic,-0.001491711973683,LogReg,multi_v2,0.591905941941639,bias two
titanic,0.010768120313766,Tree,mean_v1,0.610389804639657,bias two
titanic,0.015761746574262,Tree,mean_v2,0.576831457485597,bias two
titanic,0.018895874103021,Tree,similar_v1,0.610985004162135,bias two
titanic,0.015790216242113,Tree,similar_v2,0.599291861036293,bias two
titanic,0.021076069454735,Tree,multi_v1,0.600211445974845,bias two
titanic,0.022218975882375,Tree,multi_v2,0.597581353404737,bias two
titanic,-0.000563231135534,MLP,mean_v1,0.621024553435812,bias two
titanic,0.005912268826026,MLP,mean_v2,0.614261668932914,bias two
titanic,0.002601957998451,MLP,similar_v1,0.627106791595706,bias two
titanic,-2.97510600096673E-05,MLP,similar_v2,0.601507483300453,bias two
titanic,0.018692854448586,MLP,multi_v1,0.589323349169182,bias two
titanic,0.002991204562314,MLP,multi_v2,0.586510334253804,bias two
german,0.006841706080915,KNN,mean_v1,0.630486477608378,bias two
